,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
25,52,52,52,52,52,R,R,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,W
26,,,,,,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
27,,,,,,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
28,,,,,,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
29,,,,,,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
30,,,,,,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
31,,,,,,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
32,,,,,,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
33,,,,,,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
34,,,,,,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
35,,,,,,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
36,,,,,,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
37,,,,,,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
38,,,,,,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
39,,,,,,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
40,,,,,,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
41,,,,,,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
42,,,,,,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
43,,,,,,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
44,,,,,,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
45,,,,,,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
46,,,,,,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
47,,,,,,R,R,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,W
48,,,,,,R,R,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,W
49,,,,,,R,R,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,W
50,,,,,,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
51,,,,,,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
52,,,,,,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
53,,,,,,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
54,,,,,,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
55,,,,,,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
56,,,,,,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
57,,,,,,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
58,,,,,,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
59,57,57,57,57,57,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
60,57,57,57,57,57,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
61,57,57,57,57,57,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
62,57,57,57,57,57,R,R,W,P,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,P,L,L,L,L,L,L,L,L,L,L,L,L,L,P,L,L,L,L,L,L,L,L,L,L,L,P,W
